group,resource,prefix,constructor
core,configmaps,/registry/configmaps,configmapstore.NewREST
core,secrets,/registry/secrets,secretstore.NewREST
core,namespaces,/registry/namespaces,namespacestore.NewREST
core,resourcequotas,/registry/resourcequotas,resourcequotastore.NewREST
core,events,/registry/events,eventstore.NewREST
core,serviceaccounts,/registry/serviceaccounts,serviceaccountstore.NewREST
core,pods,/registry/pods,podstore.NewStorage
core,bindings,/registry/bindings,podstore.NewStorage (LegacyBinding)
core,podtemplates,/registry/podtemplates,podtemplatestore.NewREST
core,replicationcontrollers,/registry/replicationcontrollers,controllerstore.NewStorage
core,services,/registry/services,servicestore.NewREST
core,endpoints,/registry/endpoints,endpointsstore.NewREST
core,nodes,/registry/nodes,nodestore.NewStorage
core,limitranges,/registry/limitranges,limitrangestore.NewREST
core,persistentvolumes,/registry/persistentvolumes,pvstore.NewREST
core,persistentvolumeclaims,/registry/persistentvolumeclaims,pvcstore.NewREST
core,componentstatuses,/registry/componentstatuses,componentstatus.NewStorage
apps,deployments,/registry/apps/deployments,deploymentstore.NewStorage
apps,statefulsets,/registry/apps/statefulsets,statefulsetstore.NewStorage
apps,daemonsets,/registry/apps/daemonsets,daemonsetstore.NewREST
apps,replicasets,/registry/apps/replicasets,replicasetstore.NewStorage
apps,controllerrevisions,/registry/apps/controllerrevisions,controllerrevisionsstore.NewREST
batch,jobs,/registry/batch/jobs,jobstore.NewREST
batch,cronjobs,/registry/batch/cronjobs,cronjobstore.NewREST
autoscaling,horizontalpodautoscalers,/registry/autoscaling/horizontalpodautoscalers,horizontalpodautoscalerstore.NewREST
admissionregistration.k8s.io,validatingwebhookconfigurations,/registry/admissionregistration.k8s.io/validatingwebhookconfigurations,validatingwebhookconfigurationstorage.NewREST
admissionregistration.k8s.io,mutatingwebhookconfigurations,/registry/admissionregistration.k8s.io/mutatingwebhookconfigurations,mutatingwebhookconfigurationstorage.NewREST
admissionregistration.k8s.io,validatingadmissionpolicies,/registry/admissionregistration.k8s.io/validatingadmissionpolicies,validatingadmissionpolicystorage.NewREST
admissionregistration.k8s.io,validatingadmissionpolicybindings,/registry/admissionregistration.k8s.io/validatingadmissionpolicybindings,policybindingstorage.NewREST
